t,xbar_true,observation,filtered_mean,filtered_std,crowding_c_t
0.095,0.0925377656588528,0.07842937546956387,0.07815049162220104,0.02590446099838591,0.00027888384736282634
0.1,0.08861528232666814,0.14917094072156023,0.10949529424308296,0.026132320159541287,0.03967564647847727
0.105,0.0938207249709163,0.06556749509816244,0.09324611924070762,0.02329242226701112,0.027678624142545183
0.11,0.0853162271050034,0.024988139949580476,0.07356023509789761,0.025437036525380742,0.04857209514831713
0.115,0.0779017573753521,0.09182814240009834,0.08085145816675511,0.022602661521406078,0.010976684233343234
0.12,0.043795984950090634,-0.03430082067342064,0.027678290290035084,0.0254763544391926,0.06197911096345572
0.125,0.04650125698481937,0.05632241796430701,0.03833862952955406,0.02277486675421489,0.01798378843475295
0.13,0.06337741434627425,0.09942313491545571,0.05795802226792716,0.024369907592838594,0.04146511264752855
0.135,0.07892987728725906,0.08147445156449146,0.06562178424810218,0.022126196797165945,0.015852667316389277
0.14,0.08193892512125625,0.08227163679190527,0.06655704850790925,0.023545876838603583,0.015714588283996023
0.145,0.06983648309082129,-0.0028726613670461143,0.02834667373829952,0.023117715666584753,0.031219335105345636
0.15,0.07724662823567803,0.09670924090513394,0.0759932267910385,0.025215387510613536,0.020716014114095446
0.155,0.0801994280548202,0.09392910153522377,0.07535448914260431,0.025752945100554505,0.018574612392619455
0.16,0.09257888963592473,0.052441033243738985,0.052575364116492225,0.025911911096487703,0.00013433087275323968
0.165,0.09539462229033828,0.16016461564467727,0.11815503321366551,0.02733338397460813,0.04200958243101176
0.17,0.09653718236363093,0.055572477134542775,0.08980158717068472,0.021395343175485085,0.034229110036141944
0.17500000000000002,0.07363574733310826,0.018075900476048207,0.0680985590625683,0.021926288488394886,0.050022658586520094
0.18,0.07918176694148277,0.01994513380151082,0.049348831627337345,0.019466531641877737,0.029403697825826525
0.185,0.05561519762029829,0.05645500262767931,0.06143715792219695,0.02171847520405413,0.0049821552945176414
0.19,0.06759248772863238,0.07839404884301249,0.07261287572939482,0.023348617576043753,0.005781173113617671
0.195,0.07637761395746043,0.09031569658524578,0.07961629331882221,0.023918574549578783,0.010699403266423574
0.2,0.0879631146674416,0.07742046746573691,0.07275486717504817,0.024426802568484732,0.004665600290688743
0.20500000000000002,0.08755142037614728,0.0624412097625842,0.06261179037107509,0.02482582137953019,0.0001705806084908862
0.21,0.09313854384666849,0.11888566269533274,0.09876157532249488,0.024092545012735354,0.020124087372837857
0.215,0.08911090409587798,0.06199657400936739,0.08081345619582818,0.020892311215407206,0.01881688218646079
0.22,0.08934533809437464,0.053207353575295935,0.07435259566180055,0.021544808357992582,0.021145242086504618
